x,y
85.0,380.0
75.0,360.1015691610275
70.60750906581521,275.1212252364972
112.0,457.6612175444056
120.19529158139744,506.5314381986963
104.15078669426308,352.0
79.02437726053154,375.5004784358781
91.00618960050356,365.6273003098596
70.56851653157682,240.19409594076672
116.74991432776072,548.7514159781955
89.95386455509102,429.866963446018
80.14454092818453,410.0183809653479
75.60944905494736,325.16501357363285
117.09949931742028,507.6857353162313
125.35031007323356,556.5123192101809
109.12542230140453,401.8804110871495
83.88045871234183,425.586411212348
96.04044921847786,415.47046099203686
75.64084042612838,290.2946086029193
121.8876569113971,598.7429083793972
78.38471365916934,290.67714237695753
107.2987295925104,456.47763714745736
90.5865842484842,337.0623892854047
93.69422716583628,453.7686327459644
60.0,300.0
120.0,519.6623439164036
124.1219989092784,557.1709542619012
99.78893560077744,345.5774114560323
74.21229676541108,391.4008632408055
124.71552521124951,460.0
